CustomerID,frequency,monetary,avg_order_value,recency_days,customer_segment
12445,1,133.4,133.4,22,3
14098,1,147.34999999999997,147.34999999999997,36,3
17299,4,669.1099999999999,167.2775,11,3
14764,1,278.3,278.3,46,3
14836,3,102.44999999999999,34.15,10,3
15334,3,351.66999999999996,117.22333333333333,156,2
18221,5,1041.61,208.322,22,3
14907,7,3501.1000000000004,500.1571428571429,3,3
15341,1,2020.52,2020.52,80,3
17204,4,1564.5600000000002,391.14,175,2
13877,1,117.24000000000001,117.24000000000001,86,3
13453,2,356.97999999999996,178.48999999999998,165,2
15675,3,323.69,107.89666666666666,81,3
16525,26,13027.449999999999,501.05576923076922,2,4
15307,1,205.3,205.3,95,3
15756,4,532.96000000000015,133.24000000000004,61,3
17248,1,318.65000000000003,318.65000000000003,120,3
15578,1,127.1,127.1,162,2
16950,3,1178.56,392.85333333333335,56,3
14897,4,1366.38,341.595,7,3
14109,1,144.2,144.2,72,3
13132,1,77.3,77.3,261,2
15158,1,401.40000000000009,401.40000000000009,45,3
14638,1,443.6,443.6,50,3
12604,2,254.18,127.09,79,3
12928,5,2062.7,412.53999999999996,35,3
13990,1,311.3,311.3,213,2
17994,4,678.4899999999999,169.62249999999997,121,3
13410,5,1003.06,200.61200000000002,24,3
16327,6,3844.2199999999993,640.70333333333315,14,3
15107,6,319.5,53.25,311,2
13742,12,3131.0199999999995,260.91833333333335,16,4
14367,16,9261.52,578.845,8,4
15263,1,156.50999999999996,156.50999999999996,106,3
16450,1,311.92,311.92,149,2
17920,17,4204.0999999999995,247.29999999999998,4,4
15255,1,890.84999999999991,890.84999999999991,66,3
16796,1,305.62,305.62,89,3
15555,16,4805.1699999999992,300.323125,12,4
16071,1,326.24000000000007,326.24000000000007,44,3
16761,1,316.61999999999995,316.61999999999995,96,3
15402,2,626.77,313.385,148,2
12787,3,463.65999999999997,154.55333333333331,9,3
12649,3,623.51,207.8366666666667,107,3
18138,1,152.65,152.65,295,2
17931,2,408.36,204.18,134,3
17079,1,118.80000000000001,118.80000000000001,78,3
16222,1,846.72000000000071,846.72000000000071,318,2
12933,3,607.53,202.51000000000002,24,3
13384,7,4151.93,593.13285714285723,30,3
16709,5,3029.8700000000008,605.974,84,3
17542,1,170.75,170.75,269,2
17555,2,483.26,241.63,19,3
14443,4,1420.1999999999998,355.04999999999995,53,3
17460,6,622.43000000000006,103.73833333333334,94,3
14201,7,747.43999999999994,106.77714285714286,60,3
14019,3,1421.6100000000001,473.87,46,3
14886,1,364.80000000000007,364.80000000000007,252,2
14049,4,5681.7199999999993,1420.43,16,3
17735,19,13110.019999999999,690.00105263157877,2,4
16183,1,338.71000000000009,338.71000000000009,67,3
17526,4,1195.9,298.975,4,3
16774,4,661.52,165.38,67,3
14732,8,2702.4900000000002,337.81125,8,3
13295,1,201.2,201.2,359,2
13223,2,163.20000000000002,81.600000000000009,200,2
12917,1,594.0,594.0,128,3
16402,2,299.59999999999991,149.79999999999995,264,2
13120,1,30.599999999999998,30.599999999999998,238,2
15822,2,885.47,442.735,3,3
13892,4,632.97,158.2425,26,3
17648,4,1797.5,449.375,60,3
13587,1,712.4,712.4,63,3
16073,1,122.39999999999999,122.39999999999999,297,2
18143,2,1000.1599999999999,500.07999999999993,116,3
13209,8,5891.61,736.45124999999985,30,3
16359,9,1750.92,194.54666666666668,7,3
16054,1,783.89999999999986,783.89999999999986,145,3
12764,1,1693.8800000000003,1693.8800000000003,316,2
16584,2,936.08000000000015,468.04000000000008,80,3
13027,6,6912.0,1152.0,113,3
16966,7,2154.9700000000003,307.85285714285715,8,3
17425,2,759.1699999999995,379.58499999999975,19,3
17861,8,2100.8,262.6,3,3
17701,1,417.95000000000005,417.95000000000005,252,2
13029,3,1247.5,415.83333333333331,30,3
14729,1,313.48999999999995,313.48999999999995,373,2
15199,4,1268.7,317.17499999999995,59,3
15689,2,254.1,127.05,119,3
16491,1,731.5,731.5,46,3
15088,2,1160.07,580.035,21,3
14300,1,43.2,43.2,18,3
14916,4,1268.98,317.245,70,3
18042,1,165.04999999999998,165.04999999999998,53,3
13131,3,1073.3,357.76666666666665,23,3
15339,2,574.06999999999994,287.03499999999997,66,3
17889,2,203.87,101.935,212,2
17828,4,1820.0900000000001,455.02250000000004,22,3
17888,8,726.05,90.75625,21,3
17870,12,1894.35,157.86249999999998,2,4
16006,1,101.39999999999999,101.39999999999999,211,2
13880,13,3219.77,247.67461538461538,21,4
13030,2,799.4799999999999,399.73999999999995,11,3
14164,2,1631.7700000000002,815.8850000000001,70,3
15073,3,1043.41,347.80333333333334,9,3
16648,1,290.65999999999997,290.65999999999997,42,3
17052,1,413.75000000000006,413.75000000000006,28,3
14644,2,830.7600000000001,415.38000000000011,67,3
12995,1,211.32,211.32,85,3
15623,1,301.03,301.03,141,3
15947,1,1708.2400000000002,1708.2400000000002,82,3
14582,1,114.11,114.11,40,3
17100,2,971.74,485.87,18,3
16483,1,139.35000000000002,139.35000000000002,192,2
16936,1,262.68,262.68,25,3
12479,1,527.2,527.2,11,3
15493,5,2001.7999999999997,400.3599999999999,32,3
16096,1,320.62,320.62,264,2
13954,2,439.91999999999996,219.95999999999998,1,3
16358,4,2027.5000000000005,506.87500000000011,1,3
13115,4,2294.78,573.695,11,3
13816,2,571.67000000000007,285.83500000000004,23,3
17088,4,1991.01,497.7525,28,3
12648,1,318.05,318.05,154,2
14570,2,218.05999999999997,109.02999999999999,280,2
17505,2,1145.8400000000001,572.92000000000007,161,2
12615,4,2291.19,572.7975,2,3
16570,10,3738.4,373.84000000000003,15,3
17659,12,2999.4600000000005,249.95499999999998,17,4
15368,1,446.94000000000005,446.94000000000005,21,3
18106,1,430.69999999999987,430.69999999999987,329,2
14623,5,889.25000000000011,177.85,32,3
14173,4,450.84000000000003,112.71000000000001,10,3
13900,3,740.95,246.98333333333335,183,2
13319,26,10845.55,417.13653846153841,5,4
16820,1,497.61000000000007,497.61000000000007,95,3
15917,1,123.10000000000001,123.10000000000001,247,2
13956,5,1026.42,205.284,5,3
12845,4,354.09,88.522500000000008,267,2
16737,1,417.59999999999997,417.59999999999997,53,3
13324,10,7121.95,712.195,36,4
12678,12,17628.460000000003,1469.0383333333334,42,4
13354,1,743.53000000000031,743.53000000000031,71,3
17752,1,80.64,80.64,359,2
13493,2,618.63,309.31499999999994,275,2
15844,1,130.74,130.74,46,3
17105,2,665.78,332.89,159,2
14290,5,2314.6499999999996,462.92999999999995,11,3
12393,4,1582.6000000000001,395.65000000000003,72,3
15301,12,5070.35,422.5291666666667,50,4
17062,4,538.37,134.5925,313,2
16392,1,221.19000000000005,221.19000000000005,269,2
15135,1,139.04999999999998,139.04999999999998,239,2
13253,2,1030.4,515.2,156,2
14448,2,375.35,187.675,9,3
14995,2,233.23000000000002,116.61500000000001,38,3
14412,2,770.03,385.015,42,3
14092,14,4076.9100000000003,291.20785714285716,7,4
12738,1,155.35,155.35,372,2
15330,2,714.96,357.48,32,3
14643,2,693.81000000000006,346.90500000000003,170,2
17422,6,1979.37,329.895,16,3
15265,2,1506.12,753.06,151,2
14329,7,5014.84,716.40571428571434,17,3
12631,1,640.50000000000023,640.50000000000023,57,3
16474,7,1871.5000000000002,267.35714285714289,7,3
16728,4,1054.67,263.6675,46,3
16986,2,1873.2,936.6,29,3
18268,1,25.5,25.5,134,3
17535,1,164.39999999999998,164.39999999999998,280,2
15781,3,345.46000000000004,115.15333333333334,25,3
14776,11,2538.2999999999993,230.75454545454542,51,3
12820,4,942.34,235.58500000000004,3,3
18084,1,90.47999999999999,90.47999999999999,16,3
13555,4,4149.28,1037.32,73,3
16204,1,405.71000000000004,405.71000000000004,23,3
18130,3,1059.3899999999999,353.12999999999994,15,3
16112,4,195.74,48.935,143,3
17863,6,3159.9999999999995,526.66666666666652,59,3
13235,1,1031.0699999999997,1031.0699999999997,212,2
17118,1,157.02,157.02,317,2
14722,1,187.91999999999996,187.91999999999996,147,2
14898,6,1303.5199999999998,217.2533333333333,23,3
14480,1,279.05,279.05,11,3
13607,1,678.00999999999965,678.00999999999965,40,3
17859,1,148.21,148.21,304,2
13451,5,2976.1500000000005,595.23000000000013,26,3
14292,9,4871.9299999999994,541.32555555555552,7,3
16091,2,315.06,157.53,154,2
13394,8,2520.0199999999995,315.0025,1,3
17719,15,5396.0400000000009,359.736,37,4
14881,1,255.4,255.4,19,3
15296,6,3672.8599999999997,612.14333333333332,50,3
13584,1,142.40000000000003,142.40000000000003,306,2
15653,2,877.43999999999994,438.71999999999997,92,3
14620,2,412.78,206.39,205,2
15950,4,1765.5099999999998,441.3775,31,3
15755,6,2364.25,394.04166666666669,10,3
15541,1,85.130000000000024,85.130000000000024,114,3
12573,1,160.54,160.54,227,2
17788,2,1117.9,558.95,73,3
15267,5,1717.36,343.472,22,3
12921,37,16587.090000000004,448.29972972972985,9,4
15185,1,310.62000000000006,310.62000000000006,70,3
14320,2,477.79000000000008,238.89500000000004,206,2
16385,3,555.8900000000001,185.29666666666671,60,3
13318,3,640.76,213.58666666666664,1,3
14698,5,1250.76,250.152,1,3
13473,2,422.64,211.32,60,3
13021,9,2616.3799999999997,290.70888888888885,4,3
16070,2,852.14999999999986,426.07499999999993,22,3
13091,1,345.82,345.82,28,3
12433,7,13375.870000000003,1910.8385714285719,0,4
